# Shoplister library backup
# format-version: 3
# language: hebrew
#
# Edit in any plain-text editor. Lines starting with # are comments.
# Sections: [home_sections], [shopping_sections], [library], [recipes], [recipe_items].
# Library item rows are TAB-separated: name, home_section, shopping_section.
# Recipe item rows are TAB-separated: recipe_name, item_name, quantity.
# Section lists are one title per line (order is kept). Images are not exported.

[home_sections]
ירקות
פירות
מוצרי חלב
מקרר
מקפיא
לחמים
שימורים
פיצוחים
בישול
אפייה
חטיפים
שתיה
בקבוקים
תבלינים
חד פעמי
ניקיון
כביסה
היגיינה

[shopping_sections]
ירקות ופירות
פיצוחים
מאפייה
מעדנייה
היגיינה
ניקיון
כביסה
חטיפים
חד פעמי
אפייה
שימורים
בישול
רטבים
בקבוקים
שתיה
אלכוהול
מקפיא
קצבייה
תבלינים
מקרר
אחר

[library]
name	home_section	shopping_section	home_order
כרעיים	מקפיא	קצבייה	13
לבבות	מקפיא	קצבייה	14
שניצל תירס	מקפיא	מקפיא	15
לחמניות	לחמים	מאפייה	0
טורטיות	לחמים	מאפייה	1
לחם	לחמים	מאפייה	2
שעועית אפויה	שימורים	שימורים	0
חומוס	שימורים	שימורים	1
זיתים	שימורים	שימורים	2
תירס	שימורים	שימורים	3
תירס גמדי	שימורים	שימורים	4
טונה	שימורים	שימורים	5
רסק עגבניות	שימורים	שימורים	6
מנה חמה	שימורים	בישול	7
מיונז	שימורים	רטבים	8
קפה	שימורים	מאפייה	9
תה	שימורים	מאפייה	10
סוכרזית	שימורים	אפייה	11
אגוזים	פיצוחים	פיצוחים	0
בוטנים	פיצוחים	פיצוחים	1
שקדים	פיצוחים	פיצוחים	2
שומשום	פיצוחים	אפייה	3
אורז	בישול	בישול	0
פתיתים	בישול	בישול	1
פסטה	בישול	בישול	2
קוסקוס	בישול	בישול	3
מרק	בישול	בישול	4
עגבניות מרוסקות	בישול	בישול	5
פירורי לחם	בישול	בישול	6
מלח	בישול	אפייה	7
מלח גס	בישול	אפייה	8
אבקת מרק בצל	בישול	בישול	9
אבקת מרק עוף	בישול	בישול	10
קרוטונים	אפייה	אפייה	0
טחינה גולמית	אפייה	אפייה	1
קמח	אפייה	אפייה	2
קמח תופח	אפייה	אפייה	3
סוכר	אפייה	אפייה	4
סוכר חום	אפייה	אפייה	5
קורנפלור	אפייה	אפייה	6
אבקת אפייה	אפייה	אפייה	7
אינסטנט פודינג וניל	אפייה	אפייה	8
קקאו	אפייה	אפייה	9
שוקולד מריר	אפייה	אפייה	10
תמצית וניל	אפייה	אפייה	11
אבקת סוכר	אפייה	אפייה	12
סוכר וניל	אפייה	אפייה	13
ריבה	אפייה	אפייה	14
שוקולד לבן	אפייה	אפייה	15
שמרים יבשים	אפייה	אפייה	16
ממרח שוקולד	אפייה	אפייה	17
פופקורן	חטיפים	חטיפים	0
תפוצ'יפס	חטיפים	חטיפים	1
דוריטוס	חטיפים	חטיפים	2
פרינגלס	חטיפים	חטיפים	3
צ'יטוס	חטיפים	חטיפים	4
במבה	חטיפים	חטיפים	5
קורנפלקס	חטיפים	חטיפים	6
חטיף אנרגיה	חטיפים	חטיפים	7
בייגלה	חטיפים	חטיפים	8
קרקרים	חטיפים	חטיפים	9
עוגיות	חטיפים	חטיפים	10
פריכיות תירס	חטיפים	חטיפים	11
מיץ	שתיה	מקרר	0
מים	שתיה	שתיה	1
סודה	שתיה	שתיה	2
קולה	שתיה	שתיה	3
פטל	שתיה	שתיה	4
יין	שתיה	אלכוהול	5
בירה	שתיה	אלכוהול	6
שמן קנולה	בקבוקים	בקבוקים	0
שמן זית	בקבוקים	בקבוקים	1
תרסיס שמן	בקבוקים	בקבוקים	2
חומץ	בקבוקים	בקבוקים	3
חומץ בלסמי	בקבוקים	בקבוקים	4
סירופ שוקולד	בקבוקים	אפייה	5
דבש	בקבוקים	בישול	6
סילאן	בקבוקים	בקבוקים	7
פלפל שחור	תבלינים	תבלינים	0
זעתר	תבלינים	תבלינים	1
פפריקה	תבלינים	תבלינים	2
גריל עוף	תבלינים	תבלינים	3
שווארמה	תבלינים	תבלינים	4
כמון	תבלינים	תבלינים	5
כורכום	תבלינים	תבלינים	6
מלח לימון	תבלינים	תבלינים	7
סודה לשתייה	תבלינים	תבלינים	8
אגוז מוסקט	תבלינים	תבלינים	9
אורגנו	תבלינים	תבלינים	10
תבניות אלומיניום	חד פעמי	חד פעמי	0
ניילון נצמד	חד פעמי	חד פעמי	1
נייר כסף	חד פעמי	חד פעמי	2
נייר אפייה	חד פעמי	חד פעמי	3
שקיות כריכים	חד פעמי	ניקיון	4
שיפודים	חד פעמי	חד פעמי	5
שקיות קוקי	חד פעמי	חד פעמי	6
צלחות	חד פעמי	חד פעמי	7
כוסות	חד פעמי	חד פעמי	8
קיסמים	חד פעמי	חד פעמי	9
סבון כלים	ניקיון	ניקיון	0
טבליות למדיח	ניקיון	ניקיון	1
שקיות אשפה	ניקיון	ניקיון	2
כלור	ניקיון	ניקיון	3
שפריצר חלונות	ניקיון	ניקיון	4
נייר טואלט	ניקיון	כביסה	5
נייר סופג	ניקיון	כביסה	6
מגבונים	ניקיון	אחר	7
טישו	ניקיון	כביסה	8
כפפות	ניקיון	ניקיון	9
סמרטוטי שיש	ניקיון	ניקיון	10
סקוצ'	ניקיון	ניקיון	11
ספוג הפלא	ניקיון	ניקיון	12
מבריק למדיח	ניקיון	ניקיון	13
מגבוני רצפה	ניקיון	ניקיון	14
מלח למדיח	ניקיון	ניקיון	15
ג'ל כביסה	כביסה	כביסה	0
מרכך כביסה	כביסה	כביסה	1
מסיר כתמים	כביסה	כביסה	2
נייר למייבש	כביסה	כביסה	3
שפריצר למייבש	כביסה	כביסה	4
מסכה	היגיינה	היגיינה	0
סבון ידיים	היגיינה	היגיינה	1
קרם הגנה	היגיינה	היגיינה	2
נייר טואלט לח	היגיינה	כביסה	3
שמפו	היגיינה	היגיינה	4
מרכך	היגיינה	היגיינה	5
קרם לחות	היגיינה	אחר	6
ג'ל שיער	היגיינה	לא מוגדר	7
סבון קשיח	היגיינה	היגיינה	8
משחת שיניים	היגיינה	היגיינה	9
דאודורנט	היגיינה	היגיינה	10
תחבושות	היגיינה	היגיינה	11
תחתוניות	היגיינה	היגיינה	12
קיסמי אוזניים	היגיינה	היגיינה	13
צמר גפן	היגיינה	היגיינה	14
חוט דנטלי	היגיינה	היגיינה	15
מברשת שיניים	היגיינה	היגיינה	16
